"pk","name"
"2711725169","technological progress"
"1466202876","rapidity of communication"
"3353805721","radius of communication"
"1746840506","population size"
"1182635923","common ground"
"3344516874","word length"
"2979943643","number of meanings"
"907311459","lexicon: frequency of use"
"4182057302","familiarity"
"80696849","positive attitude"
"4218912191","lexicon: valence"
"1729858907","social interaction"
"3719167349","linguistic diversity"
"2554133047","economy of form"
"31407103","combinatorial structure"
"49941528","age of acquisition"
"3253875825","lexical access"
"3130560403","productivity"
"1097259485","lexical change"
